,Open,Close,High,Low
0,0.8623242639317057,0.8780769089274802,0.8259820645397496,0.8845790978459382
1,0.8583649993744757,0.875688577321604,0.8175592432089295,0.8798104922078838
2,0.8566165842256089,0.8793179207046924,0.8170355002197166,0.882666973892448
3,0.8588309380439108,0.8753728066299584,0.8180713370904671,0.8856987138958201
4,0.8541990919490311,0.8701227304900564,0.8151020040971646,0.8739871779765895
5,0.8577462844477171,0.8762306402700842,0.8164117968752815,0.8791336142809135
6,0.8564004035530691,0.875941378526084,0.817234382489163,0.8798061380937442
7,0.8556666226737242,0.8773797857414397,0.8178667893169372,0.8817020149320726
8,0.8570099847250456,0.875020151887704,0.8177065410438779,0.881221960644187
9,0.8559047043630523,0.874356076753418,0.8165154144391753,0.8793504017952944
10,0.8549157356928204,0.87379514232483,0.8149968170276058,0.87861856251926
11,0.8542209005572469,0.8744397164498853,0.8154893904023855,0.8788368864038523
12,0.8548680807464302,0.8751777327023746,0.8158026954739173,0.8800892137682341
13,0.8552498372630799,0.8750614495904792,0.8162392120399626,0.8799094394024737
14,0.8555037645934,0.8744413084384944,0.8154642703985412,0.8792112696748037
15,0.8549128596517975,0.874463600273738,0.8156471860893129,0.8789209529018046
16,0.8549693782083657,0.8744947173438171,0.8157187289817942,0.8791927411894149
17,0.8549922530522511,0.8745189374950847,0.8157417734590138,0.8793869978042617
18,0.854889211891296,0.8743441232215972,0.8155283445778955,0.8791713848004405
19,0.8548142456718072,0.8743119052067061,0.8154411674602878,0.879054101499895
20,0.8547855151768649,0.8742264271765036,0.8154610899912308,0.8789934494278274
21,0.854731857795112,0.8742580440741006,0.8154005313544865,0.8790865578590115
22,0.8547038171521308,0.8743066229045411,0.8154067635718867,0.8791250257271556
23,0.8547592561185388,0.8744095986124214,0.8154541985742966,0.8791718527570185
24,0.8548706984489155,0.8744239031494686,0.8155432150032987,0.8791693432781746
25,0.8549057230552782,0.874437782249376,0.8155792600483647,0.8792003077027962
26,0.8549047127931712,0.8744479806789902,0.8155768931619293,0.8792349725871973
27,0.854903902359773,0.874467165563321,0.8155883625050127,0.879260889350012
